image,caption_number,caption,id
542714962.jpg,0,Một trò chơi bóng chuyền đang diễn ra và một người đàn ông đang nhảy cao để làm tường chắn bóng,26974
542714962.jpg,1,Một số thanh niên đang chơi bóng chuyền trên cát,26974
542714962.jpg,2,Một nhóm thanh niên đang chơi bóng chuyền trên bãi biển bên cạnh thành phố,26974
542714962.jpg,3,Những người đàn ông đang chơi bóng chuyền giữa trời nắng trên cát,26974
542714962.jpg,4,Một vài người đàn ông đang chơi bóng chuyền với một số người xem xung quanh,26974
5610848512.jpg,0,Một người đàn ông tóc đen nhảy lên không trung để đánh bóng trong một trận đấu bóng chuyền,27310
5610848512.jpg,1,Một người đàn ông đang đánh một quả bóng chuyền ở giữa không trung,27310
5610848512.jpg,2,Một anh chàng mặc quần short màu xám đang đánh một quả bóng chuyền trên bãi biển,27310
5610848512.jpg,3,Một thanh niên đang nhảy cao đánh bóng trong khi đối thủ của anh ấy đang trong trạng thái phòng thủ,27310
5610848512.jpg,4,Một chàng trai nhảy lên không trung để đập một quả bóng trong trận đấu bóng chuyền trên bãi biển,27310
5730196560.jpg,0,Một cậu bé đang bắt bóng bên cạnh gôn trong khi cầu thủ đối phương đang trượt trên đất cố gắng chạm vào gôn,27533
5730196560.jpg,1,Hai người cậu bé trong trang phục bóng chày đang chơi bóng chày một người là cầu thủ phòng ngự còn người kia là runner,27533
5730196560.jpg,2,Một cậu bé cố gắng trượt đến gôn để an toàn trong một trò chơi bóng chày,27533
5730196560.jpg,3,Một cậu bé là runner đang cố trượt vào gôn trước khi cầu thủ phòng ngự bắt được bóng,27533
5730196560.jpg,4,Một đứa trẻ đang cố chạm vào gôn trong khi cầu thủ đối phương đứng bên cạnh,27533
5767811093.jpg,0,Một hitter đang vung gậy bóng chày và người bắt bóng đang ở ngay bên cạnh,27606
5767811093.jpg,1,Một cầu thủ bóng chày đang đánh bóng với người bắt bóng và trọng tài phía sau anh ta,27606
5767811093.jpg,2,Một người đánh bóng người bắt bóng và trọng tài ở đứng ở đĩa nhà trong một trận bóng chày,27606
5767811093.jpg,3,Một người đàn ông đang chơi bóng chày và đang vung gậy đánh bóng,27606
5767811093.jpg,4,Một cầu thủ bóng chày đang đánh một quả bóng bay đến,27606
5847749710.jpg,0,Một trận đấu bóng chày đang diễn ra với lợi thế thuộc về đội đỏ vì cầu thủ đã nhận được bóng và đứng ngay bên cạnh gôn,27743
5847749710.jpg,1,Một người đàn ông bắt được quả bóng trong găng tay trong khi runner đang đứng ngoài vùng an toàn,27743
5847749710.jpg,2,Một cầu thủ phòng ngự sắp chiếm được gôn bởi vì đã nhận được bóng từ đồng đội,27743
5847749710.jpg,3,Một cầu thủ vừa ném bóng cho đồng đội của mình trong khi một runner đang chạy đến,27743
5847749710.jpg,4,Trận đấu bóng chày đang diễn ra trên sân cỏ và cầu thủ đội đỏ đã nhận được bóng tại gôn,27743
5914778546.jpg,0,Một cầu thủ bóng chày đã chạm vào gôn trong khi người bắt bóng vừa mới nhận bóng chày bên ngoài khu vực,27847
5914778546.jpg,1,Một cầu thủ bóng chày đang trượt về phía gôn để ghi điểm cho đội của mình,27847
5914778546.jpg,2,Một cầu thủ bóng chày đang bắt bóng trong khi runner đội đối thủ đã chạm vào gôn sau lưng anh ta,27847
5914778546.jpg,3,Các thành viên đội đỏ đang xem trận đấu bóng chày phía sau hàng rào,27847
5914778546.jpg,4,Một cầu thủ bóng chày trong bộ trang phục bóng chày màu đỏ trượt đến chạm vào gôn,27847
5914789066.jpg,0,Cầu thủ bóng chày đang cố gắng đánh bóng trong khi người bắt bóng đang sẵn sàng bắt quả bóng,27848
5914789066.jpg,1,Một cầu thủ bóng chày áo xanh đang đánh bóng trong khi người bắt bóng và trọng tài đang đứng bên cạnh,27848
5914789066.jpg,2,Một cầu thủ bóng chày đội xanh đang vung gậy về phía quả bóng,27848
5914789066.jpg,3,Trận đấu bóng chày đang diễn ra và một cầu thủ đang chuẩn bị đánh bóng,27848
5914789066.jpg,4,Một quả bóng đã được ném và cầu thủ đang chuẩn bị đánh quả bóng ấy,27848
5925539370.jpg,0,Ba cầu bé đang chơi ném bóng chày trên sân vận động,27879
5925539370.jpg,1,Ba đứa trẻ chơi bóng chày trên sân và đứng tại vị trí ném bóng,27879
5925539370.jpg,2,Những cậu bé mang găng tay bóng chày đang đứng trên sân,27879
5925539370.jpg,3,Một cậu bé cao to đang ném bóng trong khi hai cậu bé khác đang đứng cạnh bên chờ đợi đến lượt,27879
5925539370.jpg,4,Một cậu bé đang ném một quả bóng chày trong khi hai cậu bé còn lại đang nhìn theo,27879
5989324335.jpg,0,Người chơi trong bộ trang phục bóng chày màu trắng đang trượt vào gôn trong khi người chơi đối thủ cố gắng chạm vào anh ta,27972
5989324335.jpg,1,Một cầu thủ bóng chày màu trắng đang trượt vào gôn trong khi đối thủ đang cố gắng loại anh ta,27972
5989324335.jpg,2,Trong một trận bóng chày một người chơi đang trượt trên mặt đất để đến gôn kịp thời,27972
5989324335.jpg,3,Một cầu thủ bóng chày đang cố gắng chạm vào gôn trước khi đối thủ chạm vào anh ta,27972
5989324335.jpg,4,Một cầu thủ bóng chày trượt đến gôn trong khi cầu thủ phòng ngự đối phương đang đứng trước mặt anh ta,27972
6071314957.jpg,0,Một người chơi tennis đang nhảy lên để đánh bóng về phía đối thủ,28070
6071314957.jpg,1,Hai người đang chơi tennis trên sân và người phụ nữ áo vàng đang đánh bóng,28070
6071314957.jpg,2,Hai cô gái chơi tennis và cô gái áo vàng đang nhảy lên không trung để đánh quả bóng cho đối phương,28070
6071314957.jpg,3,Hai người phụ nữ đang đánh quần vợt và một trong hai đang nhảy lên đánh bóng,28070
6071314957.jpg,4,Cô gái áo vàng đang đánh bóng trên không trung trong khi người đối diện đang trong tư thế sẵn sàng đỡ bóng,28070
610841649.jpg,0,Trận bóng đá đang diễn ra với hai đội bóng trong trang phục đỏ và trắng,28132
610841649.jpg,1,Đội bóng áo đỏ đang đá phạt trước hàng rào phòng thủ áo trắng,28132
610841649.jpg,2,Cầu thủ đội đỏ đang thực hiện cú đá trong khi thủ môn đang sẵn sàng để đỡ được quả bóng đang bay vào khung thành,28132
610841649.jpg,3,Tất cả các cầu thủ đều đang dõi theo vị trí của quả bóng sau khi một cầu thủ sút bóng,28132
610841649.jpg,4,Một cầu thủ đội đỏ đá quả bóng về phía gôn và thủ môn áo đen đội đối thủ đang bảo vệ khung thành của mình,28132
6123457215.jpg,0,Một cầu bé trong trang phục màu vàng đang bị vây quanh bởi các cầu thủ áo đỏ trong trận đấu bóng bầu dục,28146
6123457215.jpg,1,Hai chàng trai đội màu đỏ đang chặn một cầu thủ đội vàng đang cầm bóng,28146
6123457215.jpg,2,Cầu thủ bóng bầu dục áo vàng đang cố gắng tránh khỏi sự truy bắt của hai cậu bé trong trang phục đỏ,28146
6123457215.jpg,3,Một trận bóng bầu dục đang diễn ra trên sân khi đội vàng đang có bóng và đội đỏ đang phòng thủ,28146
6123457215.jpg,4,Cầu thủ đội vàng đang thoát ra vòng vây của những cầu thủ đối phương,28146
6142033763.jpg,0,Các chàng trai trẻ đang chơi bóng rổ trong nhà thể thao và một trong số đó đang nhảy lên,28173
6142033763.jpg,1,Bốn thanh niên đang chơi bóng rổ và một chàng trai đang nhảy cao để giành lấy bóng,28173
6142033763.jpg,2,Chàng trai áo xanh dương đang nhảy lên không trung trong khi các cầu thủ còn lại đang nhìn theo anh ấy,28173
6142033763.jpg,3,Một người đàn ông mặc đồng phục bóng rổ màu xanh nhảy lên không trung để đánh bóng trong khi những chàng trai còn lại đang đứng xung quanh,28173
6142033763.jpg,4,Có bốn chàng trai trong một phòng tập thể dục đang chơi bóng rổ,28173
6180807938.jpg,0,Trò chơi bóng đá đang diễn ra khi đội bóng áo sọc đang giữ bóng và cầu thủ đội xanh lam đang đuổi theo để giành lấy,28256
6180807938.jpg,1,Một cầu thủ bóng đá áo sọc đang đi bóng trong khi cầu thủ đối phương đang truy đuổi anh ta,28256
6180807938.jpg,2,Nhiều khán giả đang xem một trận bóng đá chuyên nghiệp của đội bóng màu xanh sọc đỏ và đội bóng trang phục màu xanh lam,28256
6180807938.jpg,3,Ba cầu thủ đang ở trên sân và một trong số đó đang dẫn bóng tránh khỏi sự phòng ngự của đối thủ,28256
6180807938.jpg,4,Khán giả bên ngoài sân cỏ đang theo dõi một trận đấu bóng đá trong khi một cầu thủ đang dẫn trái bóng,28256
6187182607.jpg,0,Một người đập bóng chày trong quần trắng và áo sơ mi đen cố gắng đánh bóng chày với một người bắt phía sau anh ta và một trọng tài đằng sau người bắt bóng,28266
6187182607.jpg,1,Trong một trò chơi bóng chày người đánh bóng đang đong đưa vào quả bóng trong khi người bắt giữ kiên nhẫn chờ đợi bóng đánh găng tay,28266
6187182607.jpg,2,Ba người đàn ông đang đứng trên một viên kim cương bóng chày hitter đang vung dơi của mình tại một quả bóng đến,28266
6187182607.jpg,3,Một cầu thủ bóng chày với người bắt và trọng tài được thể hiện đằng sau anh ta chuẩn bị đánh bóng,28266
6187182607.jpg,4,Một người đánh bóng sắp đánh một quả bóng chày với một người bắt và trọng tài phía sau anh ta,28266
6188752802.jpg,0,Một người chơi phụ nữ mặc đồ trắng và đen gửi bóng chuyền qua mạng trong khi đội đối phương trong Navy Blue cố gắng chặn nó như một huấn luyện viên và một vài khán giả xem trong một phòng tập thể dục,28276
6188752802.jpg,1,Một trò chơi bóng chuyền nữ trong đó một đội đang mặc áo sơ mi trắng chủ yếu và người kia đang mặc áo xanh,28276
6188752802.jpg,2,Một cầu thủ bóng chuyền nữ đang nhảy về phía bóng chuyền,28276
6188752802.jpg,3,Người chơi bóng chuyền nữ chơi một trò chơi,28276
6188752802.jpg,4,Những cô gái này đang chơi bóng chuyền,28276
6198363555.jpg,0,Một nhóm một người đàn ông chơi bóng rổ trên một toà án tạm thời,28298
6198363555.jpg,1,Một nhóm thanh niên đang chơi bóng rổ ngoài trời,28298
6198363555.jpg,2,Một nhóm người trẻ chơi một trò chơi bóng rổ,28298
6198363555.jpg,3,Bốn người đàn ông chơi một trận bóng rổ với nhau,28298
6198363555.jpg,4,Một nhóm đàn ông đang chơi bóng rổ,28298
6201295346.jpg,0,Hai cầu thủ bóng đá chuyên nghiệp một người mặc quần short màu đỏ và quần short đen khác trong quần short trắng và trắng cạnh tranh để kiểm soát bóng,28309
6201295346.jpg,1,Một người đàn ông da trắng mặc đồng phục màu xanh đang đẩy đi một người đàn ông da đen mặc đồng phục màu đỏ trong khi hai người chơi bóng đá trên một cánh đồng xanh,28309
6201295346.jpg,2,Hai cầu thủ bóng đá một người mặc màu đỏ và một màu xanh mặc chơi bóng đá với nhau,28309
6201295346.jpg,3,Các cầu thủ bóng đá màu đỏ và xanh đang cố gắng lên bóng đầu tiên để ghi bàn thắng,28309
6201295346.jpg,4,Hai cầu thủ bóng đá đang cạnh tranh cho quả bóng trong một trò chơi,28309
6204719881.jpg,0,Ở phía trước một cầu thủ bóng đá đang di chuyển màu cam và đen để chặn hai cầu thủ mặc đồng phục trắng khi chúng chạy về phía máy ảnh để theo đuổi bóng đá trong khi ở nền một người đàn ông mặc đồng phục bóng đá màu xanh nhìn,28314
6204719881.jpg,1,Bốn người đàn ông đang chơi bóng đá hai người mặc áo trắng một trong áo đỏ và một thủ môn trong nền,28314
6204719881.jpg,2,Ba người hai màu trắng một màu đỏ và đen đang chơi bóng đá,28314
6204719881.jpg,3,Ba người đàn ông cạnh tranh trong một trận bóng đá trên sân bóng đá,28314
6204719881.jpg,4,Một nhóm người đàn ông chơi bóng đá,28314
6206340700.jpg,0,Một cuộc đua chạy trở lại tự mình mở ra giữa hai lineman khi anh cố gắng chạy bóng xuống sân bóng,28320
6206340700.jpg,1,Cầu thủ bóng đá màu nâu đang chạy với quả bóng từ những cầu thủ màu trắng,28320
6206340700.jpg,2,Người chơi bóng đá đang cố gắng tuyệt vọng để thăng tiến bóng lên sân,28320
6206340700.jpg,3,Một cầu thủ bóng đá đại học chạy bóng về phía người bảo vệ,28320
6206340700.jpg,4,Đàn ông đang ở trên sân chơi bóng đá,28320
6212107040.jpg,0,Cầu thủ bóng chày Melky Cabrera Mặc số Jersey đứng sau tấm nhà nhìn vào khi đội của anh ta tròn về nhà phía sau người bắt bóng,28337
6212107040.jpg,1,Một người đàn ông mặc áo xanh đang băng qua đĩa tại nhà tại một trận bóng chày,28337
6212107040.jpg,2,Một cầu thủ bóng chày có điểm màu xanh chạy bằng cách băng qua đĩa nhà,28337
6212107040.jpg,3,Thành viên của đội bóng chày Hoàng gia băng qua đĩa,28337
6212107040.jpg,4,Cầu thủ bóng chày băng qua tấm nhà,28337
6224066807.jpg,0,Một cầu thủ bóng đá đang trên cánh đồng với cánh tay của mình chuẩn bị đá bóng,28365
6224066807.jpg,1,Một chàng trai mặc đồng phục màu trắng với số trên đó chơi bóng đá,28365
6224066807.jpg,2,Một người đàn ông mặc một chiếc áo số sắp đá một quả bóng đá,28365
6224066807.jpg,3,Một người đàn ông có đồng phục bóng đá số đá một quả bóng đá,28365
6224066807.jpg,4,Một người đàn ông đang đá một quả bóng đá,28365
6253003614.jpg,0,Một cầu thủ bóng đá mặc những người chạy bộ màu trắng trước những cầu thủ bóng đá khác đang ở trên mặt đất trong khi một người hâm mộ trong nền kỷ niệm bóng đi vào lưới,28419
